--------- beginning of /dev/log/system
I/Vold    (  117): Vold 2.1 (the revenge) firing up
W/dalvikvm(  125): PR_SET_NO_NEW_PRIVS failed. Is your kernel compiled correctly?: Invalid argument
I/SystemServer(  375): Entered the Android system server!
I/SystemServer(  375): Waiting for installd to be ready.
I/Installer(  375): connecting...
I/SystemServer(  375): Power Manager
I/SystemServer(  375): Activity Manager
I/ActivityManager(  375): Memory class: 96
I/UsageStats(  375): Deleting usage file : usage-20150415
I/SystemServer(  375): Display Manager
I/SystemServer(  375): Telephony Registry
I/SystemServer(  375): Scheduling Policy
I/DisplayManagerService(  375): Display device added: DisplayDeviceInfo{"Pantalla integrada": 720 x 1280, 58.981003 fps, density 320, 315.31033 x 318.7451 dpi, touch INTERNAL, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, rotation 0, type BUILT_IN, address null}
I/SystemServer(  375): Package Manager
D/SELinuxMMAC(  375): Couldn't find install policy /data/system/mac_permissions.xml
D/SELinuxMMAC(  375): Using install policy file /system/etc/security/mac_permissions.xml
W/PackageParser(  375): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #202
W/PackageParser(  375): No actions in intent filter at /system/app/Contacts.apk Binary XML file line #374
W/PackageParser(  375): Unknown element under <application>: permission at /system/app/GalleryGoogle.apk Binary XML file line #224
W/PackageParser(  375): Unknown element under <application>: permission at /system/app/GalleryGoogle.apk Binary XML file line #227
W/PackageManager(  375): Permission com.google.android.gallery3d.permission.GALLERY_PROVIDER from package com.google.android.gallery3d ignored: original from com.google.android.apps.plus
W/PackageParser(  375): Unknown element under <manifest>: supports-gl-texture at /system/app/GoogleEarth.apk Binary XML file line #19
W/PackageParser(  375): No actions in intent filter at /system/app/Dialer.apk Binary XML file line #138
W/PackageParser(  375): Unknown element under <manifest>: supports-gl-texture at /data/app/com.google.earth-1.apk Binary XML file line #25
W/PackageManager(  375): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
W/PackageManager(  375): Package com.google.android.gms desires unavailable shared library com.android.media.remotedisplay; ignoring!
W/PackageManager(  375): Package com.google.android.gms declares lib com.google.android.gms that is not declared on system image; skipping
I/PackageParser(  375): io.appium.settings: compat added android.permission.WRITE_EXTERNAL_STORAGE
W/PackageParser(  375): Problem in package /data/app/com.google.android.apps.magazines-1.apk:
W/PackageParser(  375): Unknown element under <activity>: category at /data/app/com.google.android.apps.magazines-1.apk Binary XML file line #74
W/PackageParser(  375): Problem in package /data/app/com.google.android.apps.magazines-1.apk:
W/PackageParser(  375): Unknown element under <activity>: category at /data/app/com.google.android.apps.magazines-1.apk Binary XML file line #75
W/PackageManager(  375): Package com.facebook.katana desires unavailable shared library com.amazon.device.messaging; ignoring!
I/PackageParser(  375): io.appium.unlock: compat added android.permission.WRITE_EXTERNAL_STORAGE android.permission.READ_PHONE_STATE
W/PackageManager(  375): Package com.metago.astro desires unavailable shared library proguard.annotations; ignoring!
W/PackageManager(  375): Package com.metago.astro desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
W/PackageManager(  375): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
W/PackageManager(  375): Package com.google.android.gms desires unavailable shared library com.android.media.remotedisplay; ignoring!
W/PackageManager(  375): Package com.facebook.katana desires unavailable shared library com.amazon.device.messaging; ignoring!
W/PackageManager(  375): Package com.metago.astro desires unavailable shared library proguard.annotations; ignoring!
W/PackageManager(  375): Package com.metago.astro desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
I/PackageManager(  375): Time to scan packages: 12.551 seconds
